,Sr No,Date,Startup Name,Industry Vertical,Sub-Vertical,City,Investors Name,Investment Type,Amount (USD),Remarks
2251,2252,19-11-2015,UrbanClap,Mobile Services Marketplace,Online Lending Platform,Gurugram,"Bessemer Venture Partner, Accel, SAIF Partners",Private Equity,25000000,Series B
2252,2253,19-11-2015,SenseGiz,Smartwatch Maker,Online Lending Platform,Belagavi,Karnataka Semiconductor Venture Capital firm,Seed Funding,500000,No Remarks
2253,2254,19-11-2015,PlaceofOrigin,Online Gourmet Food Marketplace,Online Lending Platform,Bengaluru,"S.D. Shibulal, Kris Gopalakrishnan, Srinath Batni, Professor Tarun Khanna, Ganapathy Venugopal.",Seed Funding,1750000,No Remarks
2254,2255,19-11-2015,Fourseven,Online Jewellery etailer,Online Lending Platform,New Delhi,Indian Angel Network,Seed Funding,455000,No Remarks
2255,2256,20-11-2015,MindTickle,Sales & Productivity Software,Online Lending Platform,Pune,New Enterprise Associates,Private Equity,12500000,Series A
2256,2257,20-11-2015,Shopsense,ecommerce related software product platform,Online Lending Platform,Mumbai,"Kae Capital, Kunal Bahl, Rohit Bansal",Seed Funding,1750000,Pre-Series A
2257,2258,20-11-2015,Medinfi,Health-Tech platform,Online Lending Platform,Bengaluru,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",Seed Funding,305000,No Remarks
2258,2259,20-11-2015,OUWT,Nightlife Discovery Mobile App,Online Lending Platform,Mumbai,Undisclosed investors,Seed Funding,150000,No Remarks
2259,2260,20-11-2015,HeyPillow,Online Real Estate Marketplace,Online Lending Platform,Bengaluru,Hampton Capital,Private Equity,3000000,Series A
2260,2261,21-11-2015,Healers At Home,"Home Healthcare Services platform,",Online Lending Platform,New Delhi,"Daljit Singh, Dr. Pramath Raj Sinha, BVR Mohan Reddy",Seed Funding,1750000,No Remarks
2261,2262,21-11-2015,Caravan Craft,Indian Ethnic Crafts Etailer,Online Lending Platform,Bengaluru,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",Private Equity,1200000,Series A
2262,2263,21-11-2015,Talkoot,Social platform for traders and investors,Online Lending Platform,Bengaluru,Undisclosed investors,Seed Funding,100000,No Remarks
2263,2264,23-11-2015,RentoMojo,"Online Furniture, Home Appliances Rental Platform",Online Lending Platform,Bengaluru,"IDG Ventures India, Accel Partners India",Private Equity,2000000,Series A
2264,2265,23-11-2015,Medikoe,Healthcare Services Discovery platform,Online Lending Platform,Bengaluru,Anil Menon,Seed Funding,100000,No Remarks
2265,2266,24-11-2015,Stylofie,Health and Beauty Services Marketplace,Online Lending Platform,Gurugram,Swastika,Seed Funding,250000,No Remarks
2266,2267,24-11-2015,ServX,Automotive Services platform,Online Lending Platform,New Delhi,Manish Gupta,Seed Funding,1750000,No Remarks
2267,2268,24-11-2015,Naaptol,Online and TV Shopping Marketplace,Online Lending Platform,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,52000000,Late Stage
2268,2269,24-11-2015,Crayon Data,Big Data Analytics Platform,Online Lending Platform,Chennai,Ratan Tata,Private Equity,1750000,No Remarks
2269,2270,25-11-2015,EarlySalary,Mobile App based Loan disbursement platform,Online Lending Platform,Mumbai,Ashok Agarwal,Seed Funding,1500000,No Remarks
2270,2271,25-11-2015,Tooler,On Demand Laundry Services App,Online Lending Platform,New Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding,110000,No Remarks
2271,2272,25-11-2015,S Chand,Education Content Provider,Online Lending Platform,New Delhi,IFC Everstone Group,Private Equity,27000000,No Remarks
2272,2273,26-11-2015,Stelae,Content Management Software Solutions,Online Lending Platform,Chennai,Earlsfield Capital,Private Equity,1750000,Pre-Series A
2273,2274,26-11-2015,GoQii,Fitness Tracking Management Solutions,Online Lending Platform,Mumbai,"New Enterprise Associates, Cheetah Mobile",Private Equity,13400000,Series B
2274,2275,26-11-2015,Grofers,Hyper-local Grocery Delivery platform,Online Lending Platform,Gurugram,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",Private Equity,120000000,Late Stage
2275,2276,26-11-2015,Pluss,Hyperlocal healthcare product Delivery Service provider,Online Lending Platform,Gurugram,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",Private Equity,1000000,Pre-Series A
2276,2277,26-11-2015,KountMoney,Online Lending Marketplace,Online Lending Platform,Bengaluru,"Tracxn, Ashish Goenka & Others",Seed Funding,1750000,No Remarks
2277,2278,27-11-2015,StayGlad,On Demand Beauty Services Platform,Online Lending Platform,Bengaluru,"Bessemer Venture Partners, Anil Chopra",Private Equity,1750000,Series A
2278,2279,27-11-2015,JustRide,Self Driven Rental Car Platform,Online Lending Platform,Mumbai,Unknown,Private Equity,2000000,Pre-Series A bridge round
2279,2280,27-11-2015,Fastudent,Education Content etailer,Online Lending Platform,Noida,Ashish Gupta,Seed Funding,1750000,No Remarks
2280,2281,27-11-2015,LearnOn,Clud based Learning platform,Online Lending Platform,Chennai,JMR Infotech India Pvt Ltd,Seed Funding,1750000,No Remarks
2281,2282,27-11-2015,Talentrack,Talent Exchange & Talent Services Marketplace,Online Lending Platform,New Delhi,Unigrowth Inc,Seed Funding,1750000,No Remarks
2282,2283,28-11-2015,M-TAXI,Two-Wheeler Taxi Service,Online Lending Platform,Gurugram,"Mandeep Singh, Jairaj Singh",Seed Funding,1750000,No Remarks
2283,2284,30-11-2015,Baxi,Two-Wheeler Taxi Service,Online Lending Platform,Gurugram,"Manish Kheterpal, Alok Mittal, Puneet Dalmia,",Seed Funding,1450000,No Remarks
2284,2285,30-11-2015,Superhero Brands,character merchandize sales platform,Online Lending Platform,Mumbai,DSG Consumer Partners,Seed Funding,540000,No Remarks
2285,2286,30-11-2015,MoMagic,Mobile Application Developer,Online Lending Platform,New Delhi,FIH Mobile Ltd,Private Equity,1750000,Strategic Investment
2286,2287,30-11-2015,QikPod,Ecommerce Delivery locker services,Online Lending Platform,Bengaluru,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,9000000,Series A
2287,2288,30-11-2015,Butterfly Interactive,extra curricular activities marketplace app,Online Lending Platform,New Delhi,Undisclosed investors,Seed Funding,1750000,No Remarks
2288,2289,30-11-2015,Bro4U,Hyperlocal Online Home services provider,Online Lending Platform,Bengaluru,Sargod Ventures,Seed Funding,1750000,No Remarks
2289,2290,01-10-2015,Indifi,Easy Business Loans platform,Online Lending Platform,Gurugram,"Accel Partners, Elevar Equity, Pramod Bhasin, Rajan Anandan, Gaurav Dalmia, Abhishek Goyal, Gagan Hasteer , Arun Tadanki",Seed Funding,1750000,No Remarks
2290,2291,01-10-2015,Wydr,Performance based Wholesale Marketplace,Online Lending Platform,New Delhi,Sandeep Aggarwal,Seed Funding,1750000,No Remarks
2291,2292,01-10-2015,EasyFix,Professional Services Marketplace,Online Lending Platform,Gurugram,Axilor Ventures,Seed Funding,1750000,No Remarks
2292,2293,01-10-2015,Muvizz,Movie-on-demand platform,Online Lending Platform,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,350000,No Remarks
2293,2294,01-10-2015,Abhibus,us ticketing and fleet management platform,Online Lending Platform,Hyderabad,Paytm (One97 communications),Private Equity,1750000,Strategic Investment
2294,2295,01-10-2015,Cleartax,Online Income Tax Filing platform,Online Lending Platform,New Delhi,Paytm (One97 communications),Private Equity,1750000,No Remarks
2295,2296,02-10-2015,Shopalyst,Product discovery & recommendation platform,Online Lending Platform,Bengaluru,Kalaari Capital,Private Equity,2000000,Series A
2296,2297,03-10-2015,Chillr,Mobile Payments App,Online Lending Platform,Mumbai,Sequoia Capital,Private Equity,6000000,Series A
2297,2298,05-10-2015,Nykaa,Beauty & Wellness Products e-tailer,Online Lending Platform,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,9500000,Series B
2298,2299,05-10-2015,Voylla,Fashion jewelry and accessories e-tailer,Online Lending Platform,Jaipur,Peepul Capital,Private Equity,15000000,Series B
2299,2300,05-10-2015,IndiaLends,Online Consumer Lending platform,Online Lending Platform,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,1000000,Pre-Series A Bridge round
2300,2301,05-10-2015,Rock N Shop,Premium Apparel shopping portal,Online Lending Platform,New Delhi,High Networth Individuals (undisclosed),Seed Funding,150000,No Remarks
2301,2302,06-10-2015,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,Online Lending Platform,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,700000,No Remarks
2302,2303,06-10-2015,WorkIndia,Job Board,Online Lending Platform,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,500000,Pre-Series A
2303,2304,06-10-2015,SportzVillage,Sports Management & Physical Education Business,Online Lending Platform,Bengaluru,Gaja Capital Private Equity Fund,Private Equity,10000000,Series B
2304,2305,06-10-2015,SportyBeans,multi-sport program for preschoolers,Online Lending Platform,Pune,YouWeCan Ventures,Seed Funding,1750000,No Remarks
2305,2306,06-10-2015,Burger Singh,QSR & Online delivery portal,Online Lending Platform,Gurugram,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,500000,Bridge Round
2306,2307,06-10-2015,Welcome Cure,Online Homeopathy Clinic,Online Lending Platform,Mumbai,Unnamed Media house and HNIs,Private Equity,6000000,Pre-Series A
2307,2308,07-10-2015,SchoolGuru,E-Learning Service Provider,Online Lending Platform,Mumbai,High Networth Individuals from India & USA,Private Equity,3000000,Series A
2308,2309,07-10-2015,Naturally Yours,Organic Food etailer,Online Lending Platform,Mumbai,Sanjay Mehta,Seed Funding,1750000,No Remarks
2309,2310,07-10-2015,GoJavas,Delivery & Logistics Service provider,Online Lending Platform,Gurugram,Snapdeal,Private Equity,20000000,Strategic Funding (Series C)
2310,2311,07-10-2015,Scandid,Product Discovery & comparison App,Online Lending Platform,Pune,Micromax Informatics,Private Equity,1750000,Strategic Funding
2311,2312,07-10-2015,StalkBuyLove,Online Apparels Fashion brand,Online Lending Platform,New Delhi,"Mato Peric, Peter Kabel & others",Private Equity,1750000,Series A
2312,2313,08-10-2015,ZuperMeal,Home Cooked Food marketplace & Delivery,Online Lending Platform,Mumbai,"Sanjeev Kapoor, Ravi Saxena & Others",Private Equity,2000000,Series A
2313,2314,08-10-2015,Cube26,Gesture based Mobile Development,Online Lending Platform,New Delhi,"Tiger Global Management, Flipkart",Private Equity,7700000,Series A
2314,2315,08-10-2015,Mobikon,Hotel Mobile CRM Software platform,Online Lending Platform,Pune,"Life.SREDA, Qualgro",Private Equity,1750000,Series B
2315,2316,08-10-2015,Grabhouse,Rental Accommodation Search platform,Online Lending Platform,Bengaluru,Sequoia and Kalaari Capital.,Private Equity,10000000,Series B
2316,2317,08-10-2015,Quifers,Logistics Tech Platform,Online Lending Platform,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,310000,No Remarks
2317,2318,09-10-2015,Stockroomio,Developer Portfolio Showcase platform,Online Lending Platform,Hyderabad,Undisclosed Investors,Seed Funding,70000,No Remarks
2318,2319,09-10-2015,Curofy,Doctors Network Mobile App,Online Lending Platform,New Delhi,RoundGlass Partners,Private Equity,1750000,Pre-Series A
2319,2320,09-10-2015,Cloud Lending,End-to-End Lending platform,Online Lending Platform,Bengaluru,SF Capital Group,Private Equity,8000000,Series A
2320,2321,09-10-2015,Inayo,on-demand healthcare marketplace,Online Lending Platform,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,300000,No Remarks
2321,2322,09-10-2015,WoNoBo,360-degree view creating platform,Online Lending Platform,Bengaluru,Quikr,Private Equity,1750000,Strategic Funding
2322,2323,09-10-2015,Kulzy,Advertising & Marketing Community Networking platform,Online Lending Platform,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,1000000,No Remarks
2323,2324,09-10-2015,Zeppery,Food Ordering & Delivery App,Online Lending Platform,New Delhi,Suyash Sharma,Seed Funding,77000,No Remarks
2324,2325,12-10-2015,Zify,Ride Sharing platform,Online Lending Platform,Hyderabad,Sean O’Sullivan & Others,Seed Funding,190000,No Remarks
2325,2326,12-10-2015,Faircent,Online P2P lending marketplace,Online Lending Platform,Gurugram,Aarin Capital Partners,Private Equity,1750000,Series A
2326,2327,12-10-2015,Bizongo,B2B marketplace for industrial goods,Online Lending Platform,Mumbai,Accel Partners,Seed Funding,1750000,No Remarks
2327,2328,12-10-2015,Gridle,Cloud Based Collaboration platform,Online Lending Platform,Ahmedabad,LetsVenture,Seed Funding,100000,No Remarks
2328,2329,12-10-2015,Tripoto,global community for travellers,Online Lending Platform,New Delhi,"500 Startups, IDG Ventures & Advantedge fund, Neeraj Arora, Leon Seynave",Private Equity,1750000,Series A
2329,2330,12-10-2015,Mubble,Prepaid Bill manager App,Online Lending Platform,Bengaluru,Accel Partners,Private Equity,1750000,Series A
2330,2331,13-10-2015,Voodoo,Mobile Only Shopping Assistant,Online Lending Platform,New Delhi,SAIF Partners,Seed Funding,1000000,No Remarks
2331,2332,13-10-2015,Lookup,Mobile Messaging Assistant App,Online Lending Platform,Bengaluru,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,2500000,Series A
2332,2333,14-10-2015,AskMyGift,Personalized Wish List creator app,Online Lending Platform,Noida,Turning Ideas,Seed Funding,50000,No Remarks
2333,2334,14-10-2015,Gaana,Music Streaming mobile app,Online Lending Platform,Mumbai,Micromax Informatics Ltd,Private Equity,1750000,Strategic Funding
2334,2335,14-10-2015,Zappfresh,Raw Meat & Ready to eat food etailer,Online Lending Platform,Gurugram,Undisclosed Investors,Seed Funding,77000,No Remarks
2335,2336,14-10-2015,GymTrekker,Gym Discovery platform,Online Lending Platform,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed Funding,1750000,No Remarks
2336,2337,15-10-2015,Bounty App,Online Purchase rewards app,Online Lending Platform,Bengaluru,"Fireside Ventures, Mumbai Angels MAPE Advisory Group.",Seed Funding,1750000,No Remarks
2337,2338,16-10-2015,Homers,Home rental platform,Online Lending Platform,Gurugram,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed Funding,1750000,No Remarks
2338,2339,16-10-2015,mShipper,Crowdsourced Delivery platform,Online Lending Platform,New Delhi,Vijai Laxmi,Seed Funding,1750000,No Remarks
2339,2340,16-10-2015,BolRealty,Real Estate Insights platform,Online Lending Platform,New Delhi,Manpreet Singh,Seed Funding,1750000,No Remarks
2340,2341,17-10-2015,S-Cube Futuretech,Structural & Civil Engg Service Automation,Online Lending Platform,Mumbai,Parampara Capital,Private Equity,1000000,Series A
2341,2342,19-10-2015,LetsVenture,Startup Funding Marketplace,Online Lending Platform,Bengaluru,"Accel Partners, Anupam Mittal & other marquee investors",Private Equity,1750000,Series A
2342,2343,19-10-2015,Citrus Payment,Payments Solution platform,Online Lending Platform,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,25000000,Series C
2343,2344,19-10-2015,Holidify,Travel Destination Discovery platform,Online Lending Platform,New Delhi,Aarti Group,Seed Funding,100000,No Remarks
2344,2345,20-10-2015,PrimaSeller,Order Fulfillment SAAS platform,Online Lending Platform,Bengaluru,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & others",Seed Funding,1750000,No Remarks
2345,2346,20-10-2015,Opinio,Last Mile Delivery Service,Online Lending Platform,Bengaluru,"Delhivery, Sands Capital and Accel Partners",Private Equity,7000000,Series A
2346,2347,20-10-2015,Attune Technologies,Healthcare IT Solutions & services,Online Lending Platform,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,10000000,Series B
2347,2348,20-10-2015,iChef,Gourmet Meals Delivery,Online Lending Platform,Mumbai,Springboard Ventures,Private Equity,1750000,No Remarks
2348,2349,21-10-2015,Jiyo Natural,Healthy Meals Food delivery platform,Online Lending Platform,Bengaluru,Indian Angel Network,Seed Funding,1750000,No Remarks
2349,2350,21-10-2015,AgentDesks,Real Estate Mobile CRM,Online Lending Platform,New York,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,2950000,No Remarks
2350,2351,21-10-2015,White Owl Brewery,Micro-Brewery,Online Lending Platform,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,1530000,Series A
2351,2352,21-10-2015,MealHopper,Home Made Food Marketplace,Online Lending Platform,Gurugram,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,100000,No Remarks
2352,2353,21-10-2015,Zenify,residential rental management platform,Online Lending Platform,Bengaluru,"Atul Jalan, Shrikanth & Bharath",Seed Funding,640000,No Remarks
2353,2354,21-10-2015,Stockal,Personalized Stock Intelligence Platform,Online Lending Platform,Bengaluru,"R Natarajan, Mohan Alexander",Seed Funding,1750000,No Remarks
2354,2355,23-10-2015,Medd,Personal Diagnostic Mobile App,Online Lending Platform,Mumbai,Group of Angel investors,Seed Funding,150000,Bridge Round
2355,2356,23-10-2015,Leaping Caravan,Online food ordering & Delivery service,Online Lending Platform,Gurugram,Group of Angel investors,Seed Funding,150000,No Remarks
2356,2357,23-10-2015,Frsh,Online food ordering & Delivery service,Online Lending Platform,Gurugram,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,1000000,Bridge Round
2357,2358,23-10-2015,Qik Stay,Hotel Aggregator & booking platform,Online Lending Platform,New Delhi,ID Enablers Pvt Ltd,Seed Funding,250000,No Remarks
2358,2359,26-10-2015,Parcelled,Online Logistics Platform,Online Lending Platform,Bengaluru,Delhivery,Private Equity,5000000,No Remarks
2359,2360,26-10-2015,AlmaMapper,Online Student & Campus Social Networking platform,Online Lending Platform,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,400000,No Remarks
2360,2361,26-10-2015,Flexing It,Professionals & Project Search Marketplace,Online Lending Platform,New Delhi,undisclosed private investors,Seed Funding,500000,No Remarks
2361,2362,26-10-2015,Netmeds,Online Pharmacy,Online Lending Platform,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,50000000,Series A
2362,2363,26-10-2015,Razorpay,Online Payment Gateway,Online Lending Platform,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,9000000,Series A
2363,2364,27-10-2015,Jombay,Psychometric Test Online Software,Online Lending Platform,Pune,Ventureworks India,Private Equity,1750000,No Remarks
2364,2365,27-10-2015,Happitoo,Location based Nightlife recommendation Platform,Online Lending Platform,Mumbai,Unnamed investor,Seed Funding,77000,No Remarks
2365,2366,27-10-2015,Care24,Professional Health Services Platform,Online Lending Platform,Mumbai,India Quotient,Seed Funding,350000,No Remarks
2366,2367,27-10-2015,Roadrunnr,Hyperlocal Logistics Service,Online Lending Platform,Bengaluru,"Sequoia Capital, Nexus Venture Partners",Private Equity,10000000,Series B
2367,2368,27-10-2015,Simpli5d,Online user engagement platform,Online Lending Platform,Gurugram,"Redcliffe Capital, YourNest Angel Fund",Private Equity,1750000,Bridge Funding
2368,2369,28-10-2015,ORIGA Leasing,Asset Financing platform,Online Lending Platform,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding,1100000,No Remarks
2369,2370,28-10-2015,Smartivity,Virtual Reality activity based learning platform,Online Lending Platform,New Delhi,S Chand and Co Pvt Ltd,Seed Funding,200000,No Remarks
2370,2371,28-10-2015,UrDoorStep,Online Grocery Store,Online Lending Platform,Bengaluru,Jupiter Capital,Private Equity,1750000,Series A
2371,2372,29-10-2015,Tavaga,Investment management platform,Online Lending Platform,Mumbai,Tracxn Syndicate,Seed Funding,1750000,No Remarks
2372,2373,29-10-2015,Moglix,Industrial Toons Marketplace,Online Lending Platform,Noida,"Accel Partner, Jungle Ventures",Private Equity,1750000,pre-Series A
2373,2374,29-10-2015,ZopHop,Public Commute helper App,Online Lending Platform,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding,450000,No Remarks
2374,2375,30-10-2015,Nikiai,Artificial Intelligence Ecommerce Chatbot,Online Lending Platform,Bengaluru,Unilazer Ventures,Seed Funding,1750000,No Remarks
2375,2376,30-10-2015,Instavans,Truck Aggregator & Logistics service,Online Lending Platform,Bengaluru,Suresh Vaswani,Seed Funding,1750000,No Remarks
2376,2377,30-10-2015,LiftO,Ridesharing Mobile app,Online Lending Platform,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,130000,No Remarks
2377,2378,30-10-2015,TinyOwl,Food Discovery & Delivery Mobile app,Online Lending Platform,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,7500000,Series B
2378,2379,30-10-2015,Toppr,Competitive exam learning platform,Online Lending Platform,Mumbai,InnoVen Capital,Private Equity,2000000,Series C
2379,2380,30-10-2015,Kleeto,Document Digitization platform,Online Lending Platform,Gurugram,GREX,Seed Funding,230000,pre-Series A
2380,2381,30-10-2015,BeaconsTalk,proximity marketing & Mobile Advertising platform,Online Lending Platform,Mumbai,Puneet Bhatia & others,Seed Funding,80000,No Remarks
2381,2382,31-10-2015,Jugnoo,Autorickshaw Aggregator & Booking platform,Online Lending Platform,Chandigarh,Paytm,Private Equity,10000000,Series B
2382,2383,01-09-2015,TOFlo,FinTech Startup Incubation platform,Online Lending Platform,Mumbai,Tania Johny Palathinkal,Seed Funding,100000,No Remarks
2383,2384,01-09-2015,FXMartIndia,Payment Services platform,Online Lending Platform,Chandigarh,Flipkart,Private Equity,1750000,Strategic Investment (Majority Stake)
2384,2385,01-09-2015,Stylecracker,Personalized Styling platform,Online Lending Platform,Mumbai,Group of HNI investors,Private Equity,1000000,Series A
2385,2386,01-09-2015,Luxuryhues,Luxury goods Shopping Platform,Online Lending Platform,Gurugram,Reliance Capital,Private Equity,900000,Series A
2386,2387,02-09-2015,HolaChef,Food Delivery Platform,Online Lending Platform,Mumbai,Ratan Tata,Private Equity,1750000,Part of Series A raised in June 2015
2387,2388,02-09-2015,Zivame,Online Lingerie Marketplace,Online Lending Platform,Bengaluru,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,40000000,Series C
2388,2389,02-09-2015,Capillary Tech,Cloud software solutions,Online Lending Platform,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,45000000,Series D
2389,2390,03-09-2015,Jobspire,Job Search Platform,Online Lending Platform,Bengaluru,Purvi Capital,Seed Funding,260000,No Remarks
2390,2391,03-09-2015,MeraDoctor,Doctor consultancy Mobile App,Online Lending Platform,Mumbai,India Quotient & other investors,Seed Funding,1750000,No Remarks
2391,2392,03-09-2015,Vistaar Finance,Small Business Financing (NBFC),Online Lending Platform,Bengaluru,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital, Lok Capital",Private Equity,40000000,No Remarks
2392,2393,03-09-2015,HiJinny,Beauty & Wellness Services Marketplace,Online Lending Platform,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors,Seed Funding,1750000,No Remarks
2393,2394,04-09-2015,Clapsnslaps,Online Movie Review Platform,Online Lending Platform,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,150000,No Remarks
2394,2395,04-09-2015,Blubox,ECommerce Brands’ Full Service Agency,Online Lending Platform,Mumbai,Ashish Jhalani,Seed Funding,100000,No Remarks
2395,2396,04-09-2015,RoomCentral,Cloud-based Hotel Booking Platform,Online Lending Platform,Bengaluru,Karanpal Singh,Seed Funding,2000000,No Remarks
2396,2397,07-09-2015,YouthKiAwaaz,Community Driven News/Views Platform,Online Lending Platform,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,600000,No Remarks
2397,2398,07-09-2015,Prozo,Study Material Marketplace,Online Lending Platform,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,205000,No Remarks
2398,2399,07-09-2015,Zomato,Restaurant Ratings & Reviews platform,Online Lending Platform,Gurugram,"Temasek, Vy Capital",Private Equity,60000000,Late Stage
2399,2400,07-09-2015,Sahayog Dairy,Dairy Based Product Manufacturer,Online Lending Platform,Bhopal,Acumen Fund,Private Equity,1800000,Series A
2400,2401,08-09-2015,MockBank,Government Test Preparation platform,Online Lending Platform,Bengaluru,Blume Ventures,Seed Funding,400000,No Remarks
2401,2402,08-09-2015,ReportBee,Smart Report Cards for Schools,Online Lending Platform,Chennai,India Educational Investment Fund,Seed Funding,1750000,No Remarks
2402,2403,08-09-2015,GuruG Learning,Teacher empowerment platform,Online Lending Platform,Bengaluru,India Educational Investment Fund,Seed Funding,1750000,No Remarks
2403,2404,10-09-2015,OnlineTyari,Multilingual Test Preparation Platform,Online Lending Platform,Gurugram,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,770000,Series A
2404,2405,10-09-2015,IndustryBuying,Industrial Tools Marketplace,Online Lending Platform,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,9200000,Series B
2405,2406,10-09-2015,TheNudge Foundation,Non Profit Organization to alleviate poverty,Online Lending Platform,Bengaluru,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,315000,No Remarks
2406,2407,11-09-2015,FitMeIn,Gym & Fitness Studios Subscription platform,Online Lending Platform,New Delhi,Green House Ventures,Seed Funding,100000,No Remarks
2407,2408,11-09-2015,Envoged,pre-used luxury item Marketplace,Online Lending Platform,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,1750000,No Remarks
2408,2409,11-09-2015,Zapyle,pre-used apparel shopping mobile app,Online Lending Platform,Bengaluru,Unknown,Seed Funding,1000000,No Remarks
2409,2410,11-09-2015,Renomania,Home Design & Décor platform,Online Lending Platform,New Delhi,Subodh Gupta,Seed Funding,1750000,No Remarks
2410,2411,12-09-2015,CredR,Used Vehicles Marketplace,Online Lending Platform,Mumbai,Eight Road Ventures,Private Equity,15000000,Series A
2411,2412,12-09-2015,YatraGenie,Online Bus & Cab ticketing platform,Online Lending Platform,Hyderabad,Ash Bhardwaj,Private Equity,1750000,Series A
2412,2413,14-09-2015,CanvasFlip,Mobile App testing platform,Online Lending Platform,Hyderabad,Bessemer Venture Partners,Seed Funding,1200000,No Remarks
2413,2414,14-09-2015,Shadowfax,Hyperlocal Delivery Services,Online Lending Platform,Gurugram,Eight Roads Ventures,Private Equity,9000000,Series A
2414,2415,14-09-2015,UE Life Sciences,Early Cancer Detection Solutions,Online Lending Platform,New Delhi,"Aarin Capital, Unitus Seed Fund",Private Equity,3000000,Series A
2415,2416,14-09-2015,Ola Cabs,Cab rental Mobile app,Online Lending Platform,Bengaluru,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,225000000,Late Stage
2416,2417,15-09-2015,Coverfox,Online Insurance Distribution Platform,Online Lending Platform,Mumbai,Cataraman Ventures,Private Equity,2000000,Part of $12M Series B funding
2417,2418,15-09-2015,MoEngage,Mobile Marketing Automation Platform,Online Lending Platform,Bengaluru,"Helion Venture Partners, Exfinity Ventures",Private Equity,4250000,Series A
2418,2419,15-09-2015,Mubble,Prepaid Mobile Bill Manager App,Online Lending Platform,Bengaluru,Nandan Nilekani,Seed Funding,1750000,No Remarks
2419,2420,15-09-2015,Tea Trails,Chain of Tea Café’s,Online Lending Platform,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,1000000,No Remarks
2420,2421,15-09-2015,Room on Call,Branded Budget Hotel Marketplace,Online Lending Platform,Noida,Payal Syal,Seed Funding,300000,No Remarks
2421,2422,15-09-2015,FYNE,Home Fitting & Fixtures Marketplace,Online Lending Platform,Bengaluru,Sandeep Dama & Others,Seed Funding,1750000,Pre-Series A
2422,2423,16-09-2015,ChaiPoint,Food Subscription platform,Online Lending Platform,Bengaluru,Eight Roads Ventures,Private Equity,10000000,Series A
